"date","academic_year","value","percent","series_label","subject","subject_sort","exam_type","exam_name","exam_sort","performance_standard","tests_passed","tests_taken","grades_included","grade_count","calculation_method","series_type","reporting_status","unit","direction","district_id","organization_name","source_file"
1995,"1994-1995",0.806,80.6,"Reading","Reading",1,"TAAS","Texas Assessment of Academic Skills",1,"Met standard or above (source-harmonized)",,,"District-reported tested grades",,"reported_district_subject_proportion","reported","reported","proportion","higher_is_better","094902","Schertz-Cibolo-Universal City ISD","SCUC_Snapshots_1995_to_2023_LONG_CANONICAL.csv"
1995,"1994-1995",0.817,81.7,"Writing","Writing",2,"TAAS","Texas Assessment of Academic Skills",1,"Met standard or above (source-harmonized)",,,"District-reported tested grades",,"reported_district_subject_proportion","reported","reported","proportion","higher_is_better","094902","Schertz-Cibolo-Universal City ISD","SCUC_Snapshots_1995_to_2023_LONG_CANONICAL.csv"
1995,"1994-1995",0.647,64.7,"Mathematics","Mathematics",3,"TAAS","Texas Assessment of Academic Skills",1,"Met standard or above (source-harmonized)",,,"District-reported tested grades",,"reported_district_subject_proportion","reported","reported","proportion","higher_is_better","094902","Schertz-Cibolo-Universal City ISD","SCUC_Snapshots_1995_to_2023_LONG_CANONICAL.csv"
1995,"1994-1995",,,"Science","Science",4,"TAAS","Texas Assessment of Academic Skills",1,"Met standard or above (source-harmonized)",,,"District-reported tested grades",,"reported_district_subject_proportion","reported","not_available","proportion","higher_is_better","094902","Schertz-Cibolo-Universal City ISD","SCUC_Snapshots_1995_to_2023_LONG_CANONICAL.csv"
1995,"1994-1995",,,"Social Studies","Social Studies",5,"TAAS","Texas Assessment of Academic Skills",1,"Met standard or above (source-harmonized)",,,"District-reported tested grades",,"reported_district_subject_proportion","reported","not_available","proportion","higher_is_better","094902","Schertz-Cibolo-Universal City ISD","SCUC_Snapshots_1995_to_2023_LONG_CANONICAL.csv"
1996,"1995-1996",0.806,80.6,"Reading","Reading",1,"TAAS","Texas Assessment of Academic Skills",1,"Met standard or above (source-harmonized)",,,"District-reported tested grades",,"reported_district_subject_proportion","reported","reported","proportion","higher_is_better","094902","Schertz-Cibolo-Universal City ISD","SCUC_Snapshots_1995_to_2023_LONG_CANONICAL.csv"
1996,"1995-1996",0.802,80.2,"Writing","Writing",2,"TAAS","Texas Assessment of Academic Skills",1,"Met standard or above (source-harmonized)",,,"District-reported tested grades",,"reported_district_subject_proportion","reported","reported","proportion","higher_is_better","094902","Schertz-Cibolo-Universal City ISD","SCUC_Snapshots_1995_to_2023_LONG_CANONICAL.csv"
1996,"1995-1996",0.72,72,"Mathematics","Mathematics",3,"TAAS","Texas Assessment of Academic Skills",1,"Met standard or above (source-harmonized)",,,"District-reported tested grades",,"reported_district_subject_proportion","reported","reported","proportion","higher_is_better","094902","Schertz-Cibolo-Universal City ISD","SCUC_Snapshots_1995_to_2023_LONG_CANONICAL.csv"
1996,"1995-1996",,,"Science","Science",4,"TAAS","Texas Assessment of Academic Skills",1,"Met standard or above (source-harmonized)",,,"District-reported tested grades",,"reported_district_subject_proportion","reported","not_available","proportion","higher_is_better","094902","Schertz-Cibolo-Universal City ISD","SCUC_Snapshots_1995_to_2023_LONG_CANONICAL.csv"
1996,"1995-1996",,,"Social Studies","Social Studies",5,"TAAS","Texas Assessment of Academic Skills",1,"Met standard or above (source-harmonized)",,,"District-reported tested grades",,"reported_district_subject_proportion","reported","not_available","proportion","higher_is_better","094902","Schertz-Cibolo-Universal City ISD","SCUC_Snapshots_1995_to_2023_LONG_CANONICAL.csv"
